取得日時,工区,ステータス
2026-02-03 21:34:55,H-1-2,現場確認中
2026-02-03 21:34:55,H-2-1,作業中
2026-02-03 21:34:55,H-2-2,作業中
2026-02-03 21:34:55,H-3,現場確認中
2026-02-03 21:34:55,H-4,作業中
2026-02-03 21:34:55,I-1,作業中
2026-02-03 21:34:55,I-2-1,作業中
2026-02-03 21:34:55,I-2-2,作業中
2026-02-03 21:34:55,I-2-3,現場確認中
2026-02-03 21:34:55,I-3-1A,作業中
2026-02-03 21:34:55,I-3-1B,作業中
2026-02-03 21:34:55,I-3-1C,作業中
2026-02-03 21:34:55,I-3-2,作業中
2026-02-03 21:34:55,J-1-1,現場確認中
2026-02-03 21:34:55,J-1-2,作業中
2026-02-03 21:34:55,J-2,作業中
2026-02-03 21:34:55,J-3,作業中
2026-02-03 21:34:55,J-4,作業中
2026-02-03 21:34:55,J-5-1,現場確認中
2026-02-03 21:34:55,J-5-2,作業中
2026-02-03 21:34:55,J-6,作業中
2026-02-03 21:34:55,J-7,作業中
2026-02-03 21:34:55,J-8,現場確認中
2026-02-03 21:34:55,J-9,作業中
2026-02-03 21:34:55,J-10,現場確認中
2026-02-03 21:34:55,J-11,作業中
2026-02-03 21:34:55,J-12,作業中
2026-02-03 21:34:55,J-13,作業中
2026-02-03 21:34:55,J-14,作業中
2026-02-03 21:34:55,J-15,作業中
2026-02-03 21:34:55,J-16-1,作業中
2026-02-03 21:34:55,J-16-2,作業中
2026-02-03 21:34:55,J-17,作業中
2026-02-03 21:34:55,J-18,作業中
2026-02-03 21:34:55,K-1,作業中
2026-02-03 21:34:55,K-2,作業中
2026-02-03 21:34:55,K-3,作業中
2026-02-03 21:34:55,K-4,作業中
2026-02-03 21:34:55,L-1,作業中
2026-02-03 21:34:55,L-2,作業中
2026-02-03 21:34:55,L-3,作業予定あり
2026-02-03 21:34:55,L-4,作業中
2026-02-03 21:34:55,L-5,作業中
2026-02-03 21:34:55,L-6,作業中
2026-02-03 21:34:55,L-7,作業中
2026-02-03 21:34:55,L-8,作業予定あり
2026-02-03 21:34:55,L-9,作業中
2026-02-03 21:34:55,細越工区,作業中
2026-02-03 21:34:55,問屋町工区,作業中
2026-02-03 21:34:55,松元台団地工区,作業予定あり
2026-02-03 21:34:55,幸畑団地1工区,作業中
2026-02-03 21:34:55,幸畑団地2工区,作業中
2026-02-03 21:34:55,幸畑阿部野工区,作業中
2026-02-03 21:34:55,幸畑谷脇工区,作業中
2026-02-03 21:34:55,月見野工区,作業中
2026-02-03 21:34:55,戸山団地1工区,作業中
